station_id,time,min_value,max_value,mean_value,perc_of_norm
100,2019-04-01,7,54,27,54
100,2019-04-02,19,62,35,70
100,2019-04-03,34,92,56,112
100,2019-04-04,27,74,53,106
100,2019-04-05,18,81,54,108
100,2019-04-06,54,150,74,148
100,2019-04-07,50,100,74,148
100,2019-04-08,38,136,78,156
100,2019-04-09,49,104,70,140
100,2019-04-10,34,69,49,98
100,2019-04-11,37,68,51,102
100,2019-04-12,32,95,54,108
100,2019-04-13,60,121,83,166
100,2019-04-14,28,102,52,104
100,2019-04-15,23,116,52,104
100,2019-04-16,15,87,47,94
100,2019-04-17,21,98,44,88
100,2019-04-18,16,182,70,140
100,2019-04-19,11,119,53,106
100,2019-04-20,8,101,45,90
100,2019-04-21,4,65,35,70
100,2019-04-22,16,71,40,80
100,2019-04-23,18,54,30,60
100,2019-04-26,5,39,18,36
100,2019-04-27,10,48,27,54
100,2019-04-28,33,65,49,98
100,2019-04-29,17,74,38,76
100,2019-04-30,25,91,42,84
101,2019-04-02,18,54,31,62
101,2019-04-03,35,66,48,96
101,2019-04-04,25,68,46,92
101,2019-04-05,16,67,47,94
101,2019-04-06,54,93,63,126
101,2019-04-07,43,100,68,136
101,2019-04-08,29,92,63,126
101,2019-04-09,48,90,64,128
101,2019-04-10,32,53,44,88
101,2019-04-11,37,59,45,90
101,2019-04-12,32,67,46,92
101,2019-04-13,52,97,69,138
101,2019-04-14,22,82,45,90
101,2019-04-15,20,84,42,84
101,2019-04-16,12,84,42,84
101,2019-04-17,16,104,40,80
101,2019-04-18,14,109,51,102
101,2019-04-19,8,106,37,74
101,2019-04-20,8,67,34,68
101,2019-04-21,6,48,25,50
101,2019-04-22,11,48,28,56
101,2019-04-23,16,34,25,50
101,2019-04-26,6,28,14,28
101,2019-04-27,11,46,27,54
101,2019-04-28,24,63,43,86
101,2019-04-29,14,39,29,58
101,2019-04-30,21,48,33,66
102,2019-04-02,26,46,33,66
102,2019-04-03,33,69,48,96
102,2019-04-04,25,73,46,92
102,2019-04-05,18,75,49,98
102,2019-04-06,55,97,66,132
102,2019-04-07,47,121,70,140
102,2019-04-08,33,89,65,130
102,2019-04-09,50,92,66,132
102,2019-04-10,33,56,47,94
102,2019-04-11,37,62,47,94
102,2019-04-12,34,76,51,102
102,2019-04-13,54,97,71,142
102,2019-04-14,30,87,50,100
102,2019-04-15,20,103,46,92
102,2019-04-16,16,88,43,86
102,2019-04-17,18,61,39,78
102,2019-04-18,16,112,49,98
102,2019-04-19,8,96,36,72
102,2019-04-20,8,64,32,64
102,2019-04-21,5,48,25,50
102,2019-04-22,11,53,30,60
102,2019-04-23,15,36,26,52
102,2019-04-26,5,27,14,28
102,2019-04-27,12,51,27,54
102,2019-04-28,26,60,42,84
102,2019-04-29,20,44,29,58
102,2019-04-30,21,50,34,68
103,2019-04-10,16,52,35,70
103,2019-04-11,32,61,45,90
103,2019-04-12,33,76,50,100
103,2019-04-13,52,164,78,156
103,2019-04-14,21,92,47,94
103,2019-04-15,20,92,43,86
103,2019-04-16,14,112,47,94
103,2019-04-17,15,152,48,96
103,2019-04-18,17,176,84,168
103,2019-04-19,8,177,53,106
103,2019-04-20,7,81,40,80
103,2019-04-21,5,75,34,68
103,2019-04-22,14,66,33,66
103,2019-04-23,15,44,26,52
103,2019-04-26,5,44,18,36
103,2019-04-27,10,46,30,60
103,2019-04-28,20,65,49,98
103,2019-04-29,21,51,36,72
103,2019-04-30,21,48,31,62
104,2019-04-01,4,56,18,36
104,2019-04-02,18,43,25,50
104,2019-04-03,27,61,42,84
104,2019-04-04,21,58,39,78
104,2019-04-05,16,62,39,78
104,2019-04-06,50,83,61,122
104,2019-04-07,43,96,68,136
104,2019-04-08,27,83,56,112
104,2019-04-09,48,77,61,122
104,2019-04-10,33,54,43,86
104,2019-04-11,34,60,46,92
104,2019-04-12,34,80,50,100
104,2019-04-13,54,101,73,146
104,2019-04-14,22,83,43,86
104,2019-04-15,19,73,36,72
104,2019-04-16,11,79,36,72
104,2019-04-17,12,102,42,84
104,2019-04-18,13,98,48,96
104,2019-04-19,7,86,36,72
104,2019-04-20,7,84,31,62
104,2019-04-21,5,62,28,56
104,2019-04-22,10,71,31,62
104,2019-04-23,14,52,24,48
104,2019-04-26,4,23,12,24
104,2019-04-27,9,54,27,54
104,2019-04-28,24,61,46,92
105,2019-04-01,4,66,22,44
105,2019-04-03,37,63,49,98
105,2019-04-04,27,63,47,94
105,2019-04-05,18,63,41,82
105,2019-04-06,51,80,63,126
105,2019-04-07,44,102,71,142
105,2019-04-08,30,134,68,136
105,2019-04-09,51,88,66,132
105,2019-04-10,34,55,46,92
105,2019-04-11,36,65,51,102
105,2019-04-12,35,76,53,106
105,2019-04-13,56,113,75,150
105,2019-04-14,24,88,47,94
105,2019-04-15,21,79,43,86
105,2019-04-16,12,84,40,80
105,2019-04-17,13,154,52,104
105,2019-04-18,14,106,52,104
105,2019-04-19,10,108,42,84
105,2019-04-20,9,68,41,82
105,2019-04-21,6,73,35,70
105,2019-04-22,9,93,36,72
105,2019-04-23,14,46,25,50
105,2019-04-26,6,36,18,36
105,2019-04-27,11,53,27,54
105,2019-04-28,28,61,44,88
105,2019-04-29,14,48,27,54
105,2019-04-30,23,48,32,64
106,2019-04-02,18,52,31,62
106,2019-04-03,36,66,53,106
106,2019-04-04,30,74,51,102
106,2019-04-05,18,88,53,106
106,2019-04-06,56,123,73,146
106,2019-04-07,42,115,74,148
106,2019-04-08,29,101,67,134
106,2019-04-09,44,122,66,132
106,2019-04-10,37,60,49,98
106,2019-04-11,40,67,49,98
106,2019-04-12,36,85,53,106
106,2019-04-13,53,106,74,148
106,2019-04-14,29,81,50,100
106,2019-04-15,17,98,44,88
106,2019-04-16,13,116,46,92
106,2019-04-17,19,87,43,86
106,2019-04-18,14,123,53,106
106,2019-04-19,8,124,44,88
106,2019-04-20,8,63,32,64
106,2019-04-21,4,75,29,58
106,2019-04-22,10,45,28,56
106,2019-04-23,14,35,25,50
106,2019-04-26,6,32,16,32
106,2019-04-27,12,50,31,62
106,2019-04-28,43,67,52,104
106,2019-04-29,18,54,34,68
106,2019-04-30,22,55,36,72
107,2019-04-01,6,60,22,44
107,2019-04-03,35,67,48,96
107,2019-04-04,25,68,45,90
107,2019-04-05,18,72,44,88
