id,station_name,station_address,district_id,district,lat,lon
54,Miejskie Przedszkole nr 45,"ul. Sokolska 25",1,Śródmieście,50.26323,19.019848
98,Szkoła Podstawowa nr 7 Specjalna,"ul. Szkolna 5",1,Śródmieście,50.259415,19.026228
67,X Liceum Ogólnokształcące,"ul. Miarki 6",1,Śródmieście,50.259086,19.039870
57,Szkoła Podstawowa nr 15,"ul. Adamskiego 24",1,Śródmieście,50.252388,19.00201
30,II Liceum Ogólnokształcące,"ul. Głowackiego 6",1,Śródmieście,50.251793,19.009983
29,Miejskie Przedszkole nr 3,"ul. Barbary 25",1,Śródmieście,50.248585,19.007534
946,Oddział Żłobka Miejskiego ul. Uniwersytecka 15,"ul. Uniwersytecka 15",1,Śródmieście,50.26245,19.025373
90,Szkoła Podstawowa Nr 1,"ul. Jagiellońska 18",1,Śródmieście,50.254494,19.022009
76,Szkoła Podstawowa nr 37,"ul. Lompy 17",1,Śródmieście,50.25028,19.02335
936,VIII Liceum Ogólnokształcące,"ul. 3 Maja 42",1,Śródmieście,50.259605,19.01516
14,Przychodnia nr 3,"ul. PCK 1",1,Śródmieście,50.25252,19.015036
138,Śląski Teatr Lalki i Aktora ATENEUM,"ul. Andrzeja 21A",1,Śródmieście,50.256981,19.015341
944,Oddział Żłobka Miejskiego ul.Ligonia 43,"ul. Ligonia 43",1,Śródmieście,50.2527,19.025331
931,Dom Dziecka Stanica,"ul. Plebiscytowa 46",1,Śródmieście,50.250732,19.02006
934,Zespół Szkół Ekonomicznych,"ul. Raciborska 3",1,Śródmieście,50.25494,19.008867
942,Przychodnia nr 1,"ul. Mickiewicza 9",1,Śródmieście,50.26122000000001,19.019688000000002
124,Miejskie Przedszkole Nr 35,"ul. Rybnicka 1",1,Śródmieście,50.251457,19.025074
102,Miejskie Przedszkole Nr 36,"ul. Zacisze 2",1,Śródmieście,50.255352,19.029016
83,Miejskie Przedszkole Nr 40,"ul. Panewnicka 73",6,Ligota – Panewniki,50.22761,18.95915
99,Miejskie Przedszkole Nr 89,"ul. Zadole 26A",6,Ligota – Panewniki,50.219204,18.9739
82,Miejskie Przedszkole Nr 99,"ul. Płochy 6",6,Ligota – Panewniki,50.234722,18.961267
107,Dom Dziecka Tęcza,"ul. Kaszubska 18",6,Ligota – Panewniki,50.224792,18.967447
84,Szkoła Podstawowa nr 61 Specjalna,"ul. Kołobrzeska 8",6,Ligota – Panewniki,50.220592,18.971525
69,Miejskie Przedszkole Nr 80,"ul. Panewnicka 367",6,Ligota – Panewniki,50.228233,18.933847
35,Miejski Dom Kultury Ligota,"ul. Franciszkańska 33",6,Ligota – Panewniki,50.2281,18.972958
105,Szkoła Podstawowa nr 34,"ul. Zielonogórska 3",6,Ligota – Panewniki,50.22461,18.976276
140,Szkoła Podstawowa Nr 9,"ul. Panewnicka 172",6,Ligota – Panewniki,50.230684,18.948482
127,Miejskie Przedszkole Nr 40,"ul. Śląska 34A",6,Ligota – Panewniki,50.22063,18.961985
930,Schronisko dla bezdomnych zwierząt,"ul. Milowicka 1B",14,Dąbrówka Mała,50.281162,19.072105
62,Katowickie Centrum Edukacji Zawodowej,"ul. Techników 11",14,Dąbrówka Mała,50.273834,19.06209
45,Miejskie Przedszkole nr 38,"ul. Hallera 72",14,Dąbrówka Mała,50.276604000000006,19.071354
940,Oddział Żłobka Miejskiego ul. Grzegorzka,"ul. Grzegorzka 2",14,Dąbrówka Mała,50.277126,19.065918
